單位,身分,年級,#1,#2,#3,#4,#5,#6,#7,#8
醫學檢驗生物技術學系,學生,大二,4,4,4,4,3,4,3,
醫學檢驗生物技術學系,學生,大二,3,4,4,3,3,3,4,
醫學檢驗生物技術學系,學生,大二,5,4,4,5,5,4,4,
醫學檢驗生物技術學系,學生,大二,5,5,4,5,5,4,4,
醫學檢驗生物技術學系,學生,大二,5,5,5,5,5,5,5,
醫學檢驗生物技術學系,學生,大二,4,4,4,4,4,4,4,
醫學檢驗生物技術學系,學生,大二,5,5,5,5,5,5,5,
醫學檢驗生物技術學系,學生,大二,4,4,4,4,4,3,5,
醫學檢驗生物技術學系,學生,大二,4,4,4,4,4,4,4,
醫學檢驗生物技術學系,學生,大二,5,5,5,5,5,5,5,
醫學檢驗生物技術學系,學生,大二,5,5,5,5,5,5,5,
醫學檢驗生物技術學系,學生,大二,4,4,4,4,4,4,4,
醫學檢驗生物技術學系,學生,大二,4,4,5,3,4,4,4,
醫學檢驗生物技術學系,學生,大二,5,4,4,4,4,4,4,
醫學檢驗生物技術學系,學生,大二,4,4,4,4,4,4,4,
醫學檢驗生物技術學系,學生,大二,4,4,4,4,4,4,4,
醫學檢驗生物技術學系,學生,大二,5,5,5,5,5,5,5,
醫學檢驗生物技術學系,學生,大二,4,4,4,4,4,4,4,
兒童發展與家庭教育學系,學生,大二,4,4,4,4,4,3,4,下次不要遲到
